time	V(cmirror)	V(p001)	V(p002)	V(vdd)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)
1.000292968750000e-006	3.113045349477305e+000	5.859374999999294e-004	-5.859374999999294e-004	5.000000000000000e+000	3.182131319113151e+000	3.193165927131213e+000	3.204200535149276e+000	1.006282055763373e+000	1.999394062699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.000565937699998e+000	3.110500000000000e+000	8.266592713121327e-001
1.000878906250000e-006	3.113045349528623e+000	1.757812500000071e-003	-1.757812500000071e-003	5.000000000000000e+000	3.158410487335032e+000	3.193165940561148e+000	3.227921393787264e+000	1.006277635516625e+000	1.998222187699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.001737812699998e+000	3.110500000000000e+000	8.266594056114758e-001
1.004394531250000e-006	3.113045349752584e+000	8.789062499999835e-003	-8.789062499999835e-003	5.000000000000000e+000	3.011840521568772e+000	3.193166188540499e+000	3.374491855512225e+000	1.006172360430594e+000	1.991190937699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.008769062699998e+000	3.110500000000000e+000	8.266618854049832e-001
1.007324218750000e-006	3.113049163923687e+000	1.464843750000011e-002	-1.464843750000011e-002	5.000000000000000e+000	2.890044607227316e+000	3.193165559315639e+000	3.496286511403961e+000	1.006014611535147e+000	1.985331562699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.014628437699998e+000	3.110500000000000e+000	8.266555931563867e-001
1.010253906250000e-006	3.113062683430102e+000	2.050781250000000e-002	-2.050781250000000e-002	5.000000000000000e+000	2.773674648238200e+000	3.193146362546488e+000	3.612618076854775e+000	1.006050035600902e+000	1.979472187699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.020487812699998e+000	3.110500000000000e+000	8.264636254648781e-001
1.013183593750000e-006	3.113076400977708e+000	2.636718750000000e-002	-2.636718750000000e-002	5.000000000000000e+000	2.671468777722434e+000	3.193079625825958e+000	3.714690473929482e+000	1.006711668331741e+000	1.973612812699998e+000	2.000000000000000e+000	2.000000000000000e+000	2.026347187699998e+000	3.110500000000000e+000	8.257962582595758e-001
1.019042968750000e-006	3.113084885747080e+000	3.808593750000000e-002	-3.808593750000000e-002	5.000000000000000e+000	2.510177328476571e+000	3.192805087566182e+000	3.875432846655794e+000	1.009997343902163e+000	1.961894062699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.038065937699998e+000	3.110500000000000e+000	8.230508756618199e-001
1.027832031250000e-006	3.113086515676167e+000	5.566406250000000e-002	-5.566406250000000e-002	5.000000000000000e+000	2.324529368603810e+000	3.192217393713388e+000	4.059905418822968e+000	1.017492154118574e+000	1.944315937699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.055644062699997e+000	3.110500000000000e+000	8.171739371338869e-001
1.036621093750000e-006	3.113085096832364e+000	7.324218750000000e-002	-7.324218750000000e-002	5.000000000000000e+000	2.174389208759723e+000	3.191533116148752e+000	4.208677023537781e+000	1.026601175481227e+000	1.926737812699999e+000	2.000000000000000e+000	2.000000000000000e+000	2.073222187699997e+000	3.110500000000000e+000	8.103311614875193e-001
1.038713727678572e-006	3.113084587638357e+000	7.742745535714286e-002	-7.742745535714286e-002	5.000000000000000e+000	2.142415979021306e+000	3.191361450405970e+000	4.240306921790634e+000	1.028941540417339e+000	1.922552544842856e+000	2.000000000000000e+000	2.000000000000000e+000	2.077407455557140e+000	3.110500000000000e+000	8.086145040596966e-001
