time	V(p001)
2.251822688132309e-006	-4.000000e-001
2.265807660539286e-006	-4.000000e-001
2.286185955872608e-006	-4.000000e-001
2.287818067924149e-006	-4.000000e-001
2.291082292027232e-006	-4.000000e-001
2.297610740233396e-006	-4.000000e-001
2.310667636645726e-006	-4.000000e-001
2.320366428258095e-006	-4.000000e-001
2.327099668618525e-006	-4.000000e-001
2.333160955486672e-006	-4.000000e-001
2.339302379722487e-006	-4.000000e-001
2.345637614060175e-006	-4.000000e-001
2.346421116456996e-006	-4.000000e-001
2.347988121250636e-006	-4.000000e-001
2.351122130837917e-006	-4.000000e-001
2.357390150012479e-006	-4.000000e-001
2.365971497510063e-006	-4.000000e-001
2.374557979469296e-006	-4.000000e-001
2.382352288642547e-006	-4.000000e-001
2.389206098850023e-006	-4.000000e-001
2.395318456062496e-006	-4.000000e-001
2.401586833632354e-006	-4.000000e-001
2.408245086799293e-006	-4.000000e-001
2.418185858167193e-006	-4.000000e-001
2.430246723389062e-006	-4.000000e-001
2.448203500772161e-006	-4.000000e-001
2.456743518678526e-006	-4.000000e-001
2.465827429970774e-006	-4.000000e-001
2.474708931257837e-006	-4.000000e-001
2.483064440625532e-006	-4.000000e-001
2.484274787945653e-006	-4.000000e-001
2.486695482585894e-006	-4.000000e-001
2.491536871866377e-006	-4.000000e-001
2.498279640576886e-006	-4.000000e-001
2.511539889819795e-006	-4.000000e-001
2.522177488425769e-006	-4.000000e-001
2.529831624058346e-006	-4.000000e-001
2.537557931974889e-006	-4.000000e-001
2.546412204734527e-006	-4.000000e-001
2.556222434239225e-006	-4.000000e-001
2.557466128591545e-006	-4.000000e-001
2.559953517296183e-006	-4.000000e-001
2.564928294705460e-006	-4.000000e-001
2.566171989057779e-006	-4.000000e-001
2.566482912645859e-006	-4.000000e-001
2.567104759822019e-006	-4.000000e-001
2.568348454174338e-006	-4.000000e-001
2.568659377762418e-006	-4.000000e-001
2.569281224938578e-006	-4.000000e-001
2.570524919290897e-006	-4.000000e-001
2.573012307995535e-006	-4.000000e-001
2.577987085404812e-006	-4.000000e-001
2.579230779757131e-006	-4.000000e-001
2.581718168461770e-006	-4.000000e-001
2.586692945871047e-006	-4.000000e-001
2.596642500689601e-006	-4.000000e-001
2.610957837497489e-006	-4.000000e-001
2.613204317116722e-006	-4.000000e-001
2.613765937021530e-006	-4.000000e-001
2.614889176831146e-006	-4.000000e-001
2.617135656450379e-006	-4.000000e-001
2.621628615688843e-006	-4.000000e-001
2.622751855498460e-006	-4.000000e-001
2.624998335117692e-006	-4.000000e-001
2.625559955022500e-006	-4.000000e-001
2.626683194832116e-006	-4.000000e-001
2.626964004784521e-006	-4.000000e-001
2.627525624689329e-006	-4.000000e-001
2.627666029665531e-006	-4.000000e-001
2.627946839617935e-006	-4.000000e-001
2.628017042106036e-006	-4.000000e-001
2.628034592728061e-006	-4.000000e-001
2.628069693972112e-006	-4.000000e-001
2.628078469283124e-006	-4.000000e-001
2.628096019905150e-006	-4.000000e-001
2.628100407560656e-006	-4.000000e-001
2.628109182871668e-006	-4.000000e-001
2.628126733493694e-006	-4.000000e-001
2.628131121149200e-006	-4.000000e-001
2.628139896460213e-006	-4.000000e-001
2.628157447082238e-006	-4.000000e-001
2.628192548326289e-006	-4.000000e-001
2.628262750814390e-006	-4.000000e-001
2.628403155790592e-006	-4.000000e-001
2.628683965742996e-006	-4.000000e-001
2.629245585647804e-006	-4.000000e-001
2.629385990624006e-006	-4.000000e-001
2.629421091868056e-006	-4.000000e-001
2.629491294356157e-006	-4.000000e-001
2.629508844978183e-006	-4.000000e-001
2.629543946222233e-006	-4.000000e-001
2.629552721533246e-006	-4.000000e-001
2.629554915360999e-006	-4.000000e-001
2.629555463817937e-006	-4.000000e-001
2.629556560731814e-006	-4.000000e-001
2.629558754559567e-006	-4.000000e-001
2.629563142215073e-006	-4.000000e-001
2.629564239128950e-006	-4.000000e-001
2.629566432956703e-006	-4.000000e-001
2.629570820612209e-006	-4.000000e-001
2.629579595923222e-006	-4.000000e-001
2.629597146545247e-006	-4.000000e-001
2.629632247789298e-006	-4.000000e-001
2.629702450277399e-006	-4.000000e-001
2.629842855253601e-006	-4.000000e-001
2.630123665206005e-006	-4.000000e-001
2.630685285110813e-006	-4.000000e-001
2.630825690087015e-006	-4.000000e-001
2.631106500039419e-006	-4.000000e-001
2.631668119944227e-006	-4.000000e-001
2.632791359753843e-006	-4.000000e-001
2.635037839373076e-006	-4.000000e-001
2.639530798611541e-006	-4.000000e-001
2.648516717088471e-006	-4.000000e-001
2.666488554042331e-006	-4.000000e-001
2.689729974483252e-006	-4.000000e-001
2.692994031951545e-006	-4.000000e-001
2.699522146888133e-006	-4.000000e-001
2.712578376761307e-006	-4.000000e-001
2.714930349982891e-006	-4.000000e-001
2.719634296426059e-006	-4.000000e-001
2.729042189312393e-006	-4.000000e-001
2.747857975085062e-006	-4.000000e-001
2.751849330736563e-006	-4.000000e-001
2.759832042039563e-006	-4.000000e-001
2.775797464645565e-006	-4.000000e-001
2.796589775676509e-006	-4.000000e-001
2.822139781266183e-006	-4.000000e-001
2.849098998795578e-006	-4.000000e-001
2.855202514420578e-006	-4.000000e-001
2.856728393326828e-006	-4.000000e-001
2.859780151139328e-006	-4.000000e-001
2.865883666764328e-006	-4.000000e-001
2.878090698014328e-006	-4.000000e-001
2.902504760514328e-006	-4.000000e-001
2.908546146181656e-006	-4.000000e-001
2.920628917516313e-006	-4.000000e-001
2.944794460185626e-006	-4.000000e-001
2.986758037090932e-006	-4.000000e-001
3.030711900155643e-006	-4.000000e-001
3.079540025155643e-006	-4.000000e-001
3.128368150155643e-006	-4.000000e-001
3.177196275155644e-006	-4.000000e-001
3.226024400155644e-006	-4.000000e-001
3.274852525155644e-006	-4.000000e-001
3.323680650155644e-006	-4.000000e-001
3.372508775155644e-006	-4.000000e-001
3.421336900155644e-006	-4.000000e-001
3.470165025155644e-006	-4.000000e-001
3.567821275155645e-006	-4.000000e-001
3.665477525155645e-006	-4.000000e-001
3.714305650155645e-006	-4.000000e-001
3.720409165780645e-006	-4.000000e-001
3.732616197030645e-006	-4.000000e-001
3.757030259530645e-006	-4.000000e-001
3.775340806405645e-006	-4.000000e-001
3.799754868905645e-006	-4.000000e-001
3.848582993905645e-006	-4.000000e-001
3.897411118905644e-006	-4.000000e-001
3.946239243905644e-006	-4.000000e-001
3.952342759530644e-006	-4.000000e-001
3.953868638436894e-006	-4.000000e-001
3.956920396249394e-006	-4.000000e-001
3.963023911874394e-006	-4.000000e-001
3.975230943124394e-006	-4.000000e-001
3.999645005624394e-006	-4.000000e-001
4.017955552499395e-006	-4.000000e-001
4.042369614999394e-006	-4.000000e-001
4.048473130624395e-006	-4.000000e-001
4.060680161874395e-006	-4.000000e-001
4.085094224374395e-006	-4.000000e-001
4.133922349374395e-006	-4.000000e-001
4.182750474374394e-006	-4.000000e-001
4.188853989999394e-006	-4.000000e-001
4.190379868905644e-006	-4.000000e-001
4.193431626718144e-006	-4.000000e-001
4.199535142343144e-006	-4.000000e-001
4.211742173593144e-006	-4.000000e-001
4.236156236093144e-006	-4.000000e-001
4.284984361093144e-006	-4.000000e-001
4.333812486093144e-006	-4.000000e-001
1.839631248609317e-005	-4.000000e-001
3.304474998609359e-005	-4.000000e-001
4.769318748609400e-005	-4.000000e-001
4.993928123609407e-005	-4.000000e-001
4.998810936109407e-005	-4.000000e-001
5.000000000000000e-005	-4.000000e-001
