time	V(ainp)	V(ainter1)	V(binp)	V(binter1)	V(inter1)	V(vdd)	V(xorout)	V(n002)	V(n003)	V(n004)	V(n005)
1.197474999897706e-007	5.987374999488532e-001	4.979859530441461e+000	5.000000000000000e+000	-4.142633353620908e-006	4.979619344598864e+000	5.000000000000000e+000	4.999996486771511e+000	2.670914432061827e-003	4.354730630983881e+000	-2.610440794124609e-006	4.506954778837667e+000
1.217006249897706e-007	6.085031249488531e-001	4.976466041741221e+000	5.000000000000000e+000	-4.461599089237945e-006	4.976254706152435e+000	5.000000000000000e+000	4.999996179547421e+000	3.103017472003002e-003	4.339701790945593e+000	-2.809510281780495e-006	4.504283958306299e+000
1.236537499897706e-007	6.182687499488530e-001	4.972802632276681e+000	5.000000000000000e+000	-4.800538220927036e-006	4.972636765863452e+000	5.000000000000000e+000	4.999995903275399e+000	3.565823071991454e-003	4.324445369452723e+000	-3.022171476812922e-006	4.501401159091157e+000
1.256068749897706e-007	6.280343749488530e-001	4.968869898784852e+000	5.000000000000000e+000	-5.122137473192101e-006	4.968764589793761e+000	5.000000000000000e+000	4.999995597699166e+000	4.058964443307507e-003	4.308977003001083e+000	-3.222600913487554e-006	4.498306858448141e+000
1.275599999897706e-007	6.377999999488530e-001	4.964665425886629e+000	5.000000000000000e+000	-5.458126253740275e-006	4.964640127806256e+000	5.000000000000000e+000	4.999995315820179e+000	4.582076320748404e-003	4.293286162766583e+000	-3.432798541385511e-006	4.494999153249953e+000
1.295131249897706e-007	6.475656249488527e-001	4.960189313417144e+000	5.000000000000000e+000	-5.781701392018200e-006	4.960262840375048e+000	5.000000000000000e+000	4.999995010733653e+000	5.134796153099246e-003	4.277382134067722e+000	-3.634079255155022e-006	4.491478128259226e+000
1.314662499897706e-007	6.573312499488527e-001	4.955439506465334e+000	5.000000000000000e+000	-6.115695470004833e-006	4.955634244731563e+000	5.000000000000000e+000	4.999994724113178e+000	5.716763015431302e-003	4.261258682614825e+000	-3.842398257455854e-006	4.487742165356665e+000
1.353724999897706e-007	6.768624999488530e-001	4.945116305037839e+000	5.000000000000000e+000	-6.773541396122877e-006	4.945623397152279e+000	5.000000000000000e+000	4.999994127938046e+000	6.967006304074777e-003	4.228367498268697e+000	-4.251110765798926e-006	4.479623470562069e+000
1.392787499897706e-007	6.963937499488527e-001	4.933687049119535e+000	5.000000000000000e+000	-7.432333904966423e-006	4.934611294051305e+000	5.000000000000000e+000	4.999993527103120e+000	8.329963525070830e-003	4.194616587201393e+000	-4.659116190858839e-006	4.470636184148819e+000
1.431849999897705e-007	7.159249999488527e-001	4.921142716469765e+000	5.000000000000000e+000	-8.092475674054849e-006	4.922601036874775e+000	5.000000000000000e+000	4.999992921416680e+000	9.802825903173953e-003	4.160009394736961e+000	-5.066623937670676e-006	4.460773225350551e+000
1.470912499897705e-007	7.354562499488527e-001	4.907481114293015e+000	5.000000000000000e+000	-8.746656596168726e-006	4.909601974799815e+000	5.000000000000000e+000	4.999988121590073e+000	1.138282422859777e-002	4.124555590135723e+000	-5.468689751355396e-006	4.450032878582420e+000
